Actor,Score,Title,Year,Gross
Leonardo DiCaprio,7.7,Titanic,1997,658672302
Christian Bale,9,The Dark Knight,2008,533316061
Harrison Ford,8.7,Star Wars: Episode IV - A New Hope,1977,460935665
Johnny Depp,7.3,Pirates of the Caribbean: Dead Man's Chest,2006,423032628
Tom Hanks,8.3,Toy Story 3,2010,414984497
Robert Downey Jr.,7.2,Iron Man 3,2013,408992272
Robert Downey Jr.,8.2,Captain America: Civil War,2016,407197282
J.K. Simmons,7.3,Spider-Man,2002,403706375
J.K. Simmons,7.3,Spider-Man 2,2004,373377893
Scarlett Johansson,7.8,The Jungle Book,2016,362645141
Scarlett Johansson,7.8,The Jungle Book,2016,362645141
Jason Statham,7.2,Furious 7,2015,350034110
Johnny Depp,6.5,Alice in Wonderland,2010,334185206
Johnny Depp,6.5,Alice in Wonderland,2010,334185206
Tom Hanks,8.8,Forrest Gump,1994,329691196
Robert Downey Jr.,7.9,Iron Man,2008,318298180
Robert Downey Jr.,7,Iron Man 2,2010,312057433
Johnny Depp,7.1,Pirates of the Caribbean: At World's End,2007,309404152
Harrison Ford,8.4,Star Wars: Episode VI - Return of the Jedi,1983,309125409
Johnny Depp,8.1,Pirates of the Caribbean: The Curse of the Black Pearl,2003,305388685
Bruce Willis,8.1,The Sixth Sense,1999,293501675
Leonardo DiCaprio,8.8,Inception,2010,292568851
Harrison Ford,8.8,Star Wars: Episode V - The Empire Strikes Back,1980,290158751
Steve Buscemi,8.1,"Monsters, Inc.",2001,289907418
Steve Buscemi,7.3,Monsters University,2013,268488329
Scarlett Johansson,7.8,Captain America: The Winter Soldier,2014,259746958
Morgan Freeman,7.8,The Lego Movie,2014,257756197
Tom Hanks,7.9,Toy Story 2,1999,245823397
Morgan Freeman,6.7,Bruce Almighty,2003,242589580
Harrison Ford,8.5,Raiders of the Lost Ark,1981,242374454
Johnny Depp,6.7,Pirates of the Caribbean: On Stranger Tides,2011,241063875
Hugh Jackman,6.8,X-Men: The Last Stand,2006,234360014
Tom Cruise,6.5,War of the Worlds,2005,234277056
Tom Hanks,7.7,Cast Away,2000,233630478
Matt Damon,8.1,The Martian,2015,228430993
Matt Damon,8.1,The Bourne Ultimatum,2007,227137090
Robin Williams,6.9,Mrs. Doubtfire,1993,219200000
Tom Hanks,6.6,The Da Vinci Code,2006,217536138
Gerard Butler,8.2,How to Train Your Dragon,2010,217387997
Robin Williams,8,Aladdin,1992,217350219
Tom Hanks,8.6,Saving Private Ryan,1998,216119491
Hugh Jackman,7.5,X-Men 2,2003,214948780
